suite,scenario,time_s,time_min,temperature_K,ambient_K,sun_fraction,solar_W_m2,q_conduction_W,q_convection_W,q_longwave_W,q_solar_W,q_radiation_W,q_internal_W,q_total_W,energy_conduction_kJ,energy_convection_kJ,energy_longwave_kJ,energy_solar_kJ,energy_radiation_kJ,energy_internal_kJ,energy_total_kJ
radiation,sun,65.0,1.083333,300.02275452364785,270.0,1.0,1000.0,0.0,0.0,-201.55468458590246,212.5,10.945315414097536,0.0,10.945315414097536,0.0,0.0,-13.095732505095786,13.8125,0.7167674949042159,0.0,0.7167674949042159
radiation,sun,70.0,1.166667,300.0244897215875,270.0,1.0,1000.0,0.0,0.0,-201.56825298015528,212.5,10.931747019844721,0.0,10.931747019844721,0.0,0.0,-14.103573769996563,14.875,0.7714262300034394,0.0,0.7714262300034394
radiation,sun,75.0,1.25,300.0262227684463,270.0,1.0,1000.0,0.0,0.0,-201.58180478958252,212.5,10.91819521041748,0.0,10.91819521041748,0.0,0.0,-15.111482793944475,15.9375,0.8260172060555268,0.0,0.8260172060555268
radiation,sun,80.0,1.333333,300.02795366685365,270.0,1.0,1000.0,0.0,0.0,-201.59534003387225,212.5,10.904659966127753,0.0,10.904659966127753,0.0,0.0,-16.119459494113837,17.0,0.8805405058861655,0.0,0.8805405058861655
radiation,sun,85.0,1.416667,300.02968241943574,270.0,1.0,1000.0,0.0,0.0,-201.60885873268984,212.5,10.89114126731016,0.0,10.89114126731016,0.0,0.0,-17.127503787777286,18.0625,0.9349962122227164,0.0,0.9349962122227164
radiation,sun,90.0,1.5,300.0314090288158,270.0,1.0,1000.0,0.0,0.0,-201.62236090567853,212.5,10.877639094321466,0.0,10.877639094321466,0.0,0.0,-18.135615592305676,19.125,0.9893844076943237,0.0,0.9893844076943237
radiation,sun,95.0,1.583333,300.03313349761385,270.0,1.0,1000.0,0.0,0.0,-201.6358465724607,212.5,10.864153427539293,0.0,10.864153427539293,0.0,0.0,-19.14379482516798,20.1875,1.0437051748320203,0.0,1.0437051748320203
radiation,sun,100.0,1.666667,300.0348558284468,270.0,1.0,1000.0,0.0,0.0,-201.6493157526363,212.5,10.850684247363688,0.0,10.850684247363688,0.0,0.0,-20.15204140393116,21.25,1.0979585960688387,0.0,1.0979585960688387
radiation,sun,105.0,1.75,300.0365760239284,270.0,1.0,1000.0,0.0,0.0,-201.66276846578324,212.5,10.837231534216755,0.0,10.837231534216755,0.0,0.0,-21.160355246260078,22.3125,1.1521447537399223,0.0,1.1521447537399223
radiation,sun,110.0,1.833333,300.0382940866694,270.0,1.0,1000.0,0.0,0.0,-201.67620473145752,212.5,10.823795268542483,0.0,10.823795268542483,0.0,0.0,-22.168736269917364,23.375,1.2062637300826347,0.0,1.2062637300826347
radiation,sun,115.0,1.916667,300.0400100192775,270.0,1.0,1000.0,0.0,0.0,-201.68962456919417,212.5,10.810375430805834,0.0,10.810375430805834,0.0,0.0,-23.177184392763333,24.4375,1.260315607236664,0.0,1.260315607236664
radiation,sun,120.0,2.0,300.04172382435706,270.0,1.0,1000.0,0.0,0.0,-201.70302799850597,212.5,10.796972001494026,0.0,10.796972001494026,0.0,0.0,-24.185699532755866,25.5,1.314300467244134,0.0,1.314300467244134
radiation,sun,125.0,2.083333,300.0434355045096,270.0,1.0,1000.0,0.0,0.0,-201.71641503888355,212.5,10.783584961116446,0.0,10.783584961116446,0.0,0.0,-25.194281607950284,26.5625,1.3682183920497164,0.0,1.3682183920497164
radiation,sun,130.0,2.166667,300.04514506233346,270.0,1.0,1000.0,0.0,0.0,-201.72978570979635,212.5,10.770214290203654,0.0,10.770214290203654,0.0,0.0,-26.202930536499267,27.625,1.4220694635007347,0.0,1.4220694635007347
radiation,sun,135.0,2.25,300.0468525004238,270.0,1.0,1000.0,0.0,0.0,-201.74314003069227,212.5,10.756859969307726,0.0,10.756859969307726,0.0,0.0,-27.211646236652726,28.6875,1.4758537633472733,0.0,1.4758537633472733
radiation,sun,140.0,2.333333,300.04855782137287,270.0,1.0,1000.0,0.0,0.0,-201.75647802099667,212.5,10.743521979003333,0.0,10.743521979003333,0.0,0.0,-28.220428626757712,29.75,1.52957137324229,0.0,1.52957137324229
radiation,sun,145.0,2.416667,300.0502610277697,270.0,1.0,1000.0,0.0,0.0,-201.7697997001139,212.5,10.730200299886093,0.0,10.730200299886093,0.0,0.0,-29.22927762525828,30.8125,1.5832223747417207,0.0,1.5832223747417207
radiation,sun,150.0,2.5,300.0519621222003,270.0,1.0,1000.0,0.0,0.0,-201.78310508742683,212.5,10.716894912573167,0.0,10.716894912573167,0.0,0.0,-30.238193150695412,31.875,1.6368068493045864,0.0,1.6368068493045864
radiation,sun,155.0,2.583333,300.05366110724754,270.0,1.0,1000.0,0.0,0.0,-201.79639420229606,212.5,10.703605797703943,0.0,10.703605797703943,0.0,0.0,-31.247175121706892,32.9375,1.6903248782931062,0.0,1.6903248782931062
radiation,sun,160.0,2.666667,300.05535798549136,270.0,1.0,1000.0,0.0,0.0,-201.80966706406085,212.5,10.690332935939153,0.0,10.690332935939153,0.0,0.0,-32.2562234570272,34.0,1.743776542972802,0.0,1.743776542972802
radiation,sun,165.0,2.75,300.0570527595085,270.0,1.0,1000.0,0.0,0.0,-201.82292369203918,212.5,10.677076307960817,0.0,10.677076307960817,0.0,0.0,-33.26533807548739,35.0625,1.797161924512606,0.0,1.797161924512606
radiation,sun,170.0,2.833333,300.0587454318727,270.0,1.0,1000.0,0.0,0.0,-201.83616410552702,212.5,10.663835894472982,0.0,10.663835894472982,0.0,0.0,-34.274518896015024,36.125,1.8504811039849711,0.0,1.8504811039849711
radiation,sun,175.0,2.916667,300.06043600515466,270.0,1.0,1000.0,0.0,0.0,-201.84938832379882,212.5,10.65061167620118,0.0,10.65061167620118,0.0,0.0,-35.28376583763402,37.1875,1.903734162365977,0.0,1.903734162365977
radiation,sun,180.0,3.0,300.06212448192196,270.0,1.0,1000.0,0.0,0.0,-201.86259636610825,212.5,10.63740363389175,0.0,10.63740363389175,0.0,0.0,-36.293078819464554,38.25,1.9569211805354356,0.0,1.9569211805354356
radiation,sun,185.0,3.083333,300.06381086473914,270.0,1.0,1000.0,0.0,0.0,-201.87578825168637,212.5,10.624211748313627,0.0,10.624211748313627,0.0,0.0,-37.30245776072299,39.3125,2.010042239277004,0.0,2.010042239277004
radiation,sun,190.0,3.166667,300.06549515616774,270.0,1.0,1000.0,0.0,0.0,-201.88896399974337,212.5,10.611036000256632,0.0,10.611036000256632,0.0,0.0,-38.31190258072171,40.375,2.0630974192782867,0.0,2.0630974192782867
radiation,sun,195.0,3.25,300.06717735876623,270.0,1.0,1000.0,0.0,0.0,-201.90212362946795,212.5,10.597876370532049,0.0,10.597876370532049,0.0,0.0,-39.321413198869045,41.4375,2.116086801130947,0.0,2.116086801130947
radiation,sun,200.0,3.333333,300.06885747509006,270.0,1.0,1000.0,0.0,0.0,-201.9152671600273,212.5,10.584732839972702,0.0,10.584732839972702,0.0,0.0,-40.33098953466918,42.5,2.169010465330811,0.0,2.169010465330811
radiation,sun,205.0,3.416667,300.07053550769155,270.0,1.0,1000.0,0.0,0.0,-201.92839461056752,212.5,10.571605389432477,0.0,10.571605389432477,0.0,0.0,-41.340631507722016,43.5625,2.2218684922779732,0.0,2.2218684922779732
radiation,sun,210.0,3.5,300.07221145912007,270.0,1.0,1000.0,0.0,0.0,-201.94150600021248,212.5,10.558493999787515,0.0,10.558493999787515,0.0,0.0,-42.350339037723074,44.625,2.2746609622769105,0.0,2.2746609622769105
