suite,scenario,time_s,time_min,temperature_K,ambient_K,wind_m_s,q_conduction_W,q_convection_W,q_longwave_W,q_solar_W,q_radiation_W,q_internal_W,q_total_W,energy_conduction_kJ,energy_convection_kJ,energy_longwave_kJ,energy_solar_kJ,energy_radiation_kJ,energy_internal_kJ,energy_total_kJ
convection,wind_0,120.0,2.0,299.29380440051386,270.0,0.0,0.0,-183.26809108563788,0.0,0.0,0.0,0.0,-183.26809108563788,0.0,-22.245161383812547,0.0,0.0,0.0,0.0,-22.245161383812547
convection,wind_0,125.0,2.083333,299.2647430866245,270.0,0.0,0.0,-183.08627750321165,0.0,0.0,0.0,0.0,-183.08627750321165,0.0,-23.160592771328606,0.0,0.0,0.0,0.0,-23.160592771328606
convection,wind_0,130.0,2.166667,299.2357106034036,270.0,0.0,0.0,-182.9046442914031,0.0,0.0,0.0,0.0,-182.9046442914031,0.0,-24.075115992785623,0.0,0.0,0.0,0.0,-24.075115992785623
convection,wind_0,135.0,2.25,299.20670692224945,270.0,0.0,0.0,-182.7231912712726,0.0,0.0,0.0,0.0,-182.7231912712726,0.0,-24.988731949141986,0.0,0.0,0.0,0.0,-24.988731949141986
convection,wind_0,140.0,2.333333,299.1777320145885,270.0,0.0,0.0,-182.54191826405906,0.0,0.0,0.0,0.0,-182.54191826405906,0.0,-25.901441540462283,0.0,0.0,0.0,0.0,-25.901441540462283
convection,wind_0,145.0,2.416667,299.14878585187563,270.0,0.0,0.0,-182.3608250911782,0.0,0.0,0.0,0.0,-182.3608250911782,0.0,-26.813245665918174,0.0,0.0,0.0,0.0,-26.813245665918174
convection,wind_0,150.0,2.5,299.119868405594,270.0,0.0,0.0,-182.17991157422267,0.0,0.0,0.0,0.0,-182.17991157422267,0.0,-27.72414522378929,0.0,0.0,0.0,0.0,-27.72414522378929
convection,wind_0,155.0,2.583333,299.0909796472551,270.0,0.0,0.0,-181.99917753496243,0.0,0.0,0.0,0.0,-181.99917753496243,0.0,-28.6341411114641,0.0,0.0,0.0,0.0,-28.6341411114641
convection,wind_0,160.0,2.666667,299.0621195483987,270.0,0.0,0.0,-181.81862279534437,0.0,0.0,0.0,0.0,-181.81862279534437,0.0,-29.543234225440823,0.0,0.0,0.0,0.0,-29.543234225440823
convection,wind_0,165.0,2.75,299.03328808059274,270.0,0.0,0.0,-181.63824717749185,0.0,0.0,0.0,0.0,-181.63824717749185,0.0,-30.451425461328284,0.0,0.0,0.0,0.0,-30.451425461328284
convection,wind_0,170.0,2.833333,299.0044852154334,270.0,0.0,0.0,-181.4580505037046,0.0,0.0,0.0,0.0,-181.4580505037046,0.0,-31.358715713846806,0.0,0.0,0.0,0.0,-31.358715713846806
convection,wind_0,175.0,2.916667,298.97571092454507,270.0,0.0,0.0,-181.27803259645887,0.0,0.0,0.0,0.0,-181.27803259645887,0.0,-32.265105876829104,0.0,0.0,0.0,0.0,-32.265105876829104
convection,wind_0,180.0,3.0,298.9469651795802,270.0,0.0,0.0,-181.09819327840668,0.0,0.0,0.0,0.0,-181.09819327840668,0.0,-33.17059684322114,0.0,0.0,0.0,0.0,-33.17059684322114
