suite,scenario,time_s,time_min,temperature_K,ambient_K,surface_K,q_conduction_W,q_convection_W,q_longwave_W,q_solar_W,q_radiation_W,q_internal_W,q_total_W,energy_conduction_kJ,energy_convection_kJ,energy_longwave_kJ,energy_solar_kJ,energy_radiation_kJ,energy_internal_kJ,energy_total_kJ
conduction,hot_surface,125.0,2.083333,302.3141508367172,270.0,340.0,566.6368728608152,0.0,0.0,0.0,0.0,0.0,566.6368728608152,72.89575135659568,0.0,0.0,0.0,0.0,0.0,72.89575135659568
conduction,hot_surface,130.0,2.166667,302.40387904901075,270.0,340.0,565.287737449242,0.0,0.0,0.0,0.0,0.0,565.287737449242,75.72219004384188,0.0,0.0,0.0,0.0,0.0,75.72219004384188
conduction,hot_surface,135.0,2.25,302.4933936227036,270.0,340.0,563.9418142648387,0.0,0.0,0.0,0.0,0.0,563.9418142648387,78.54189911516607,0.0,0.0,0.0,0.0,0.0,78.54189911516607
conduction,hot_surface,140.0,2.333333,302.58269506645905,270.0,340.0,562.5990956594461,0.0,0.0,0.0,0.0,0.0,562.5990956594461,81.35489459346331,0.0,0.0,0.0,0.0,0.0,81.35489459346331
conduction,hot_surface,145.0,2.416667,302.67178388772936,270.0,340.0,561.2595740031143,0.0,0.0,0.0,0.0,0.0,561.2595740031143,84.16119246347887,0.0,0.0,0.0,0.0,0.0,84.16119246347887
conduction,hot_surface,150.0,2.5,302.7606605927586,270.0,340.0,559.9232416840596,0.0,0.0,0.0,0.0,0.0,559.9232416840596,86.96080867189917,0.0,0.0,0.0,0.0,0.0,86.96080867189917
conduction,hot_surface,155.0,2.583333,302.84932568658536,270.0,340.0,558.590091108621,0.0,0.0,0.0,0.0,0.0,558.590091108621,89.75375912744228,0.0,0.0,0.0,0.0,0.0,89.75375912744228
conduction,hot_surface,160.0,2.666667,302.9377796730459,270.0,340.0,557.2601147012197,0.0,0.0,0.0,0.0,0.0,557.2601147012197,92.54005970094838,0.0,0.0,0.0,0.0,0.0,92.54005970094838
conduction,hot_surface,165.0,2.75,303.0260230547767,270.0,340.0,555.9333049043116,0.0,0.0,0.0,0.0,0.0,555.9333049043116,95.31972622546994,0.0,0.0,0.0,0.0,0.0,95.31972622546994
conduction,hot_surface,170.0,2.833333,303.1140563332177,270.0,340.0,554.6096541783493,0.0,0.0,0.0,0.0,0.0,554.6096541783493,98.09277449636167,0.0,0.0,0.0,0.0,0.0,98.09277449636167
conduction,hot_surface,175.0,2.916667,303.2018800086148,270.0,340.0,553.2891550017342,0.0,0.0,0.0,0.0,0.0,553.2891550017342,100.85922027137035,0.0,0.0,0.0,0.0,0.0,100.85922027137035
conduction,hot_surface,180.0,3.0,303.28949458002285,270.0,340.0,551.9717998707779,0.0,0.0,0.0,0.0,0.0,551.9717998707779,103.61907927072424,0.0,0.0,0.0,0.0,0.0,103.61907927072424
conduction,hot_surface,185.0,3.083333,303.3769005453085,270.0,340.0,550.6575812996573,0.0,0.0,0.0,0.0,0.0,550.6575812996573,106.37236717722251,0.0,0.0,0.0,0.0,0.0,106.37236717722251
conduction,hot_surface,190.0,3.166667,303.464098401153,270.0,340.0,549.3464918203724,0.0,0.0,0.0,0.0,0.0,549.3464918203724,109.11909963632439,0.0,0.0,0.0,0.0,0.0,109.11909963632439
conduction,hot_surface,195.0,3.25,303.55108864305504,270.0,340.0,548.0385239827046,0.0,0.0,0.0,0.0,0.0,548.0385239827046,111.85929225623791,0.0,0.0,0.0,0.0,0.0,111.85929225623791
conduction,hot_surface,200.0,3.333333,303.6378717653335,270.0,340.0,546.7336703541744,0.0,0.0,0.0,0.0,0.0,546.7336703541744,114.59296060800878,0.0,0.0,0.0,0.0,0.0,114.59296060800878
conduction,hot_surface,205.0,3.416667,303.7244482611303,270.0,340.0,545.4319235199976,0.0,0.0,0.0,0.0,0.0,545.4319235199976,117.32012022560878,0.0,0.0,0.0,0.0,0.0,117.32012022560878
conduction,hot_surface,210.0,3.5,303.8108186224133,270.0,340.0,544.1332760830454,0.0,0.0,0.0,0.0,0.0,544.1332760830454,120.040786606024,0.0,0.0,0.0,0.0,0.0,120.040786606024
conduction,hot_surface,215.0,3.583333,303.896983339979,270.0,340.0,542.8377206638004,0.0,0.0,0.0,0.0,0.0,542.8377206638004,122.75497520934302,0.0,0.0,0.0,0.0,0.0,122.75497520934302
conduction,hot_surface,220.0,3.666667,303.98294290345524,270.0,340.0,541.5452499003152,0.0,0.0,0.0,0.0,0.0,541.5452499003152,125.46270145884459,0.0,0.0,0.0,0.0,0.0,125.46270145884459
conduction,hot_surface,225.0,3.75,304.06869780130415,270.0,340.0,540.2558564481715,0.0,0.0,0.0,0.0,0.0,540.2558564481715,128.16398074108545,0.0,0.0,0.0,0.0,0.0,128.16398074108545
conduction,hot_surface,230.0,3.833333,304.15424852082486,270.0,340.0,538.9695329804376,0.0,0.0,0.0,0.0,0.0,538.9695329804376,130.85882840598762,0.0,0.0,0.0,0.0,0.0,130.85882840598762
conduction,hot_surface,235.0,3.916667,304.2395955481562,270.0,340.0,537.6862721876271,0.0,0.0,0.0,0.0,0.0,537.6862721876271,133.54725976692578,0.0,0.0,0.0,0.0,0.0,133.54725976692578
conduction,hot_surface,240.0,4.0,304.32473936827967,270.0,340.0,536.4060667776567,0.0,0.0,0.0,0.0,0.0,536.4060667776567,136.22929010081404,0.0,0.0,0.0,0.0,0.0,136.22929010081404
conduction,hot_surface,245.0,4.083333,304.40968046502184,270.0,340.0,535.128909475805,0.0,0.0,0.0,0.0,0.0,535.128909475805,138.90493464819306,0.0,0.0,0.0,0.0,0.0,138.90493464819306
conduction,hot_surface,250.0,4.166667,304.4944193210575,270.0,340.0,533.8547930246725,0.0,0.0,0.0,0.0,0.0,533.8547930246725,141.57420861331644,0.0,0.0,0.0,0.0,0.0,141.57420861331644
conduction,hot_surface,255.0,4.25,304.5789564179121,270.0,340.0,532.5837101841378,0.0,0.0,0.0,0.0,0.0,532.5837101841378,144.23712716423714,0.0,0.0,0.0,0.0,0.0,144.23712716423714
conduction,hot_surface,260.0,4.333333,304.66329223596466,270.0,340.0,531.3156537313188,0.0,0.0,0.0,0.0,0.0,531.3156537313188,146.89370543289374,0.0,0.0,0.0,0.0,0.0,146.89370543289374
conduction,hot_surface,265.0,4.416667,304.7474272544505,270.0,340.0,530.0506164605301,0.0,0.0,0.0,0.0,0.0,530.0506164605301,149.5439585151964,0.0,0.0,0.0,0.0,0.0,149.5439585151964
conduction,hot_surface,270.0,4.5,304.8313619514637,270.0,340.0,528.7885911832427,0.0,0.0,0.0,0.0,0.0,528.7885911832427,152.1879014711126,0.0,0.0,0.0,0.0,0.0,152.1879014711126
conduction,hot_surface,275.0,4.583333,304.9150968039602,270.0,340.0,527.5295707280446,0.0,0.0,0.0,0.0,0.0,527.5295707280446,154.82554932475284,0.0,0.0,0.0,0.0,0.0,154.82554932475284
conduction,hot_surface,280.0,4.666667,304.9986322877603,270.0,340.0,526.2735479405973,0.0,0.0,0.0,0.0,0.0,526.2735479405973,157.45691706445584,0.0,0.0,0.0,0.0,0.0,157.45691706445584
conduction,hot_surface,285.0,4.75,305.08196887755133,270.0,340.0,525.0205156835955,0.0,0.0,0.0,0.0,0.0,525.0205156835955,160.0820196428738,0.0,0.0,0.0,0.0,0.0,160.0820196428738
conduction,hot_surface,290.0,4.833333,305.1651070468905,270.0,340.0,523.7704668367301,0.0,0.0,0.0,0.0,0.0,523.7704668367301,162.70087197705746,0.0,0.0,0.0,0.0,0.0,162.70087197705746
conduction,hot_surface,295.0,4.916667,305.2480472682074,270.0,340.0,522.5233942966423,0.0,0.0,0.0,0.0,0.0,522.5233942966423,165.31348894854068,0.0,0.0,0.0,0.0,0.0,165.31348894854068
conduction,hot_surface,300.0,5.0,305.3307900128069,270.0,340.0,521.2792909768888,0.0,0.0,0.0,0.0,0.0,521.2792909768888,167.9198854034251,0.0,0.0,0.0,0.0,0.0,167.9198854034251
conduction,hot_surface,305.0,5.083333,305.4133357508717,270.0,340.0,520.0381498078963,0.0,0.0,0.0,0.0,0.0,520.0381498078963,170.5200761524646,0.0,0.0,0.0,0.0,0.0,170.5200761524646
conduction,hot_surface,310.0,5.166667,305.49568495146485,270.0,340.0,518.7999637369248,0.0,0.0,0.0,0.0,0.0,518.7999637369248,173.11407597114922,0.0,0.0,0.0,0.0,0.0,173.11407597114922
conduction,hot_surface,315.0,5.25,305.5778380825328,270.0,340.0,517.5647257280273,0.0,0.0,0.0,0.0,0.0,517.5647257280273,175.70189959978936,0.0,0.0,0.0,0.0,0.0,175.70189959978936
conduction,hot_surface,320.0,5.333333,305.65979561090774,270.0,340.0,516.3324287620077,0.0,0.0,0.0,0.0,0.0,516.3324287620077,178.2835617435994,0.0,0.0,0.0,0.0,0.0,178.2835617435994
conduction,hot_surface,325.0,5.416667,305.74155800231034,270.0,340.0,515.103065836384,0.0,0.0,0.0,0.0,0.0,515.103065836384,180.8590770727813,0.0,0.0,0.0,0.0,0.0,180.8590770727813
conduction,hot_surface,330.0,5.5,305.8231257213525,270.0,340.0,513.8766299653448,0.0,0.0,0.0,0.0,0.0,513.8766299653448,183.42846022260804,0.0,0.0,0.0,0.0,0.0,183.42846022260804
conduction,hot_surface,335.0,5.583333,305.9044992315397,270.0,340.0,512.6531141797127,0.0,0.0,0.0,0.0,0.0,512.6531141797127,185.9917257935066,0.0,0.0,0.0,0.0,0.0,185.9917257935066
conduction,hot_surface,340.0,5.666667,305.98567899527416,270.0,340.0,511.43251152690425,0.0,0.0,0.0,0.0,0.0,511.43251152690425,188.54888835114113,0.0,0.0,0.0,0.0,0.0,188.54888835114113
conduction,hot_surface,345.0,5.75,306.06666547385686,270.0,340.0,510.21481507088765,0.0,0.0,0.0,0.0,0.0,510.21481507088765,191.09996242649555,0.0,0.0,0.0,0.0,0.0,191.09996242649555
conduction,hot_surface,350.0,5.833333,306.14745912749055,270.0,340.0,509.0000178921471,0.0,0.0,0.0,0.0,0.0,509.0000178921471,193.64496251595628,0.0,0.0,0.0,0.0,0.0,193.64496251595628
conduction,hot_surface,355.0,5.916667,306.22806041528224,270.0,340.0,507.78811308764176,0.0,0.0,0.0,0.0,0.0,507.78811308764176,196.1839030813945,0.0,0.0,0.0,0.0,0.0,196.1839030813945
conduction,hot_surface,360.0,6.0,306.30846979524586,270.0,340.0,506.57909377076635,0.0,0.0,0.0,0.0,0.0,506.57909377076635,198.7167985502483,0.0,0.0,0.0,0.0,0.0,198.7167985502483
conduction,hot_surface,365.0,6.083333,306.3886877243048,270.0,340.0,505.37295307131217,0.0,0.0,0.0,0.0,0.0,505.37295307131217,201.2436633156049,0.0,0.0,0.0,0.0,0.0,201.2436633156049
conduction,hot_surface,370.0,6.166667,306.4687146582946,270.0,340.0,504.16968413542776,0.0,0.0,0.0,0.0,0.0,504.16968413542776,203.764511736282,0.0,0.0,0.0,0.0,0.0,203.764511736282
conduction,hot_surface,375.0,6.25,306.5485510519653,270.0,340.0,502.9692801255814,0.0,0.0,0.0,0.0,0.0,502.9692801255814,206.2793581369099,0.0,0.0,0.0,0.0,0.0,206.2793581369099
conduction,hot_surface,380.0,6.333333,306.62819735898444,270.0,340.0,501.7717342205202,0.0,0.0,0.0,0.0,0.0,501.7717342205202,208.78821680801252,0.0,0.0,0.0,0.0,0.0,208.78821680801252
conduction,hot_surface,385.0,6.416667,306.7076540319392,270.0,340.0,500.57703961523345,0.0,0.0,0.0,0.0,0.0,500.57703961523345,211.2911020060887,0.0,0.0,0.0,0.0,0.0,211.2911020060887
conduction,hot_surface,390.0,6.5,306.78692152233936,270.0,340.0,499.3851895209116,0.0,0.0,0.0,0.0,0.0,499.3851895209116,213.78802795369324,0.0,0.0,0.0,0.0,0.0,213.78802795369324
conduction,hot_surface,395.0,6.583333,306.8660002806195,270.0,340.0,498.19617716490967,0.0,0.0,0.0,0.0,0.0,498.19617716490967,216.2790088395178,0.0,0.0,0.0,0.0,0.0,216.2790088395178
conduction,hot_surface,400.0,6.666667,306.94489075614183,270.0,340.0,497.00999579070725,0.0,0.0,0.0,0.0,0.0,497.00999579070725,218.76405881847128,0.0,0.0,0.0,0.0,0.0,218.76405881847128
conduction,hot_surface,405.0,6.75,307.0235933971986,270.0,340.0,495.82663865787254,0.0,0.0,0.0,0.0,0.0,495.82663865787254,221.24319201176067,0.0,0.0,0.0,0.0,0.0,221.24319201176067
conduction,hot_surface,410.0,6.833333,307.1021086510148,270.0,340.0,494.64609904202064,0.0,0.0,0.0,0.0,0.0,494.64609904202064,223.71642250697076,0.0,0.0,0.0,0.0,0.0,223.71642250697076
conduction,hot_surface,415.0,6.916667,307.1804369637505,270.0,340.0,493.46837023477775,0.0,0.0,0.0,0.0,0.0,493.46837023477775,226.18376435814466,0.0,0.0,0.0,0.0,0.0,226.18376435814466
conduction,hot_surface,420.0,7.0,307.25857878050346,270.0,340.0,492.2934455437428,0.0,0.0,0.0,0.0,0.0,492.2934455437428,228.64523158586337,0.0,0.0,0.0,0.0,0.0,228.64523158586337
conduction,hot_surface,425.0,7.083333,307.3365345453118,270.0,340.0,491.12131829244817,0.0,0.0,0.0,0.0,0.0,491.12131829244817,231.1008381773256,0.0,0.0,0.0,0.0,0.0,231.1008381773256
conduction,hot_surface,430.0,7.166667,307.4143047011563,270.0,340.0,489.9519818203231,0.0,0.0,0.0,0.0,0.0,489.9519818203231,233.55059808642721,0.0,0.0,0.0,0.0,0.0,233.55059808642721
conduction,hot_surface,435.0,7.25,307.4918896899631,270.0,340.0,488.78542948265533,0.0,0.0,0.0,0.0,0.0,488.78542948265533,235.9945252338405,0.0,0.0,0.0,0.0,0.0,235.9945252338405
conduction,hot_surface,440.0,7.333333,307.569289952606,270.0,340.0,487.62165465055347,0.0,0.0,0.0,0.0,0.0,487.62165465055347,238.43263350709327,0.0,0.0,0.0,0.0,0.0,238.43263350709327
conduction,hot_surface,445.0,7.416667,307.64650592890933,270.0,340.0,486.4606507109096,0.0,0.0,0.0,0.0,0.0,486.4606507109096,240.8649367606478,0.0,0.0,0.0,0.0,0.0,240.8649367606478
conduction,hot_surface,450.0,7.5,307.72353805765005,270.0,340.0,485.30241106636,0.0,0.0,0.0,0.0,0.0,485.30241106636,243.2914488159796,0.0,0.0,0.0,0.0,0.0,243.2914488159796
conduction,hot_surface,455.0,7.583333,307.8003867765604,270.0,340.0,484.1469291352493,0.0,0.0,0.0,0.0,0.0,484.1469291352493,245.71218346165585,0.0,0.0,0.0,0.0,0.0,245.71218346165585
conduction,hot_surface,460.0,7.666667,307.8770525223305,270.0,340.0,482.994198351594,0.0,0.0,0.0,0.0,0.0,482.994198351594,248.12715445341382,0.0,0.0,0.0,0.0,0.0,248.12715445341382
conduction,hot_surface,465.0,7.75,307.9535357306106,270.0,340.0,481.8442121650429,0.0,0.0,0.0,0.0,0.0,481.8442121650429,250.53637551423904,0.0,0.0,0.0,0.0,0.0,250.53637551423904
conduction,hot_surface,470.0,7.833333,308.02983683601394,270.0,340.0,480.69696404084084,0.0,0.0,0.0,0.0,0.0,480.69696404084084,252.93986033444324,0.0,0.0,0.0,0.0,0.0,252.93986033444324
conduction,hot_surface,475.0,7.916667,308.10595627211865,270.0,340.0,479.55244745979087,0.0,0.0,0.0,0.0,0.0,479.55244745979087,255.3376225717422,0.0,0.0,0.0,0.0,0.0,255.3376225717422
conduction,hot_surface,480.0,8.0,308.18189447147074,270.0,340.0,478.4106559182203,0.0,0.0,0.0,0.0,0.0,478.4106559182203,257.7296758513333,0.0,0.0,0.0,0.0,0.0,257.7296758513333
conduction,hot_surface,485.0,8.083333,308.2576518655863,270.0,340.0,477.2715829279389,0.0,0.0,0.0,0.0,0.0,477.2715829279389,260.116033765973,0.0,0.0,0.0,0.0,0.0,260.116033765973
conduction,hot_surface,490.0,8.166667,308.33322888495394,270.0,340.0,476.13522201620555,0.0,0.0,0.0,0.0,0.0,476.13522201620555,262.496709876054,0.0,0.0,0.0,0.0,0.0,262.496709876054
conduction,hot_surface,495.0,8.25,308.4086259590374,270.0,340.0,475.0015667256909,0.0,0.0,0.0,0.0,0.0,475.0015667256909,264.87171770968246,0.0,0.0,0.0,0.0,0.0,264.87171770968246
conduction,hot_surface,500.0,8.333333,308.4838435162778,270.0,340.0,473.8706106144389,0.0,0.0,0.0,0.0,0.0,473.8706106144389,267.24107076275465,0.0,0.0,0.0,0.0,0.0,267.24107076275465
conduction,hot_surface,505.0,8.416667,308.55888198409616,270.0,340.0,472.7423472558334,0.0,0.0,0.0,0.0,0.0,472.7423472558334,269.60478249903383,0.0,0.0,0.0,0.0,0.0,269.60478249903383
